"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
303194,"BO-O","O","Oruro Department","SA","BO","http://en.wikipedia.org/wiki/Oruro_Department",
303195,"BO-P","P","PotosÃ­ Department","SA","BO","http://en.wikipedia.org/wiki/PotosÃ­_Department",
303196,"BO-S","S","Santa Cruz Department","SA","BO","http://en.wikipedia.org/wiki/Santa_Cruz_Department",
303197,"BO-T","T","Tarija Department","SA","BO","http://en.wikipedia.org/wiki/Tarija_Department",
303198,"BO-U-A","U-A","(unassigned)","SA","BO",,
302911,"BQ-U-A","U-A","(unassigned)","NA","BQ",,
303199,"BR-AC","AC","Acre","SA","BR","http://en.wikipedia.org/wiki/Acre",
303200,"BR-AL","AL","Alagoas","SA","BR","http://en.wikipedia.org/wiki/Alagoas",
303201,"BR-AM","AM","Amazonas","SA","BR","http://en.wikipedia.org/wiki/Amazonas",
303202,"BR-AP","AP","AmapÃ¡","SA","BR","http://en.wikipedia.org/wiki/AmapÃ¡",
303203,"BR-BA","BA","Bahia","SA","BR","http://en.wikipedia.org/wiki/Bahia",
303204,"BR-CE","CE","CearÃ¡","SA","BR","http://en.wikipedia.org/wiki/CearÃ¡",
303205,"BR-DF","DF","Distrito Federal","SA","BR","https://en.wikipedia.org/wiki/Federal_District_(Brazil)",
303206,"BR-ES","ES","EspÃ­rito Santo","SA","BR","http://en.wikipedia.org/wiki/EspÃ­rito_Santo",
303207,"BR-GO","GO","GoiÃ¡s","SA","BR","http://en.wikipedia.org/wiki/GoiÃ¡s",
303208,"BR-MA","MA","MaranhÃ£o","SA","BR","http://en.wikipedia.org/wiki/MaranhÃ£o",
303209,"BR-MG","MG","Minas Gerais","SA","BR","http://en.wikipedia.org/wiki/Minas_Gerais",
303210,"BR-MS","MS","Mato Grosso do Sul","SA","BR","http://en.wikipedia.org/wiki/Mato_Grosso_do_Sul",
303211,"BR-MT","MT","Mato Grosso","SA","BR","http://en.wikipedia.org/wiki/Mato_Grosso",
303212,"BR-PA","PA","ParÃ¡","SA","BR","http://en.wikipedia.org/wiki/ParÃ¡",
303213,"BR-PB","PB","ParaÃ­ba","SA","BR","http://en.wikipedia.org/wiki/ParaÃ­ba",
303214,"BR-PE","PE","Pernambuco","SA","BR","http://en.wikipedia.org/wiki/Pernambuco",
303215,"BR-PI","PI","PiauÃ­","SA","BR","http://en.wikipedia.org/wiki/PiauÃ­",
303216,"BR-PR","PR","ParanÃ¡","SA","BR","https://en.wikipedia.org/wiki/Paran%C3%A1_(state)",
303217,"BR-RJ","RJ","Rio de Janeiro","SA","BR","http://en.wikipedia.org/wiki/Rio_de_Janeiro",
303218,"BR-RN","RN","Rio Grande do Norte","SA","BR","http://en.wikipedia.org/wiki/Rio_Grande_do_Norte",
303219,"BR-RO","RO","RondÃ´nia","SA","BR","http://en.wikipedia.org/wiki/RondÃ´nia",
303220,"BR-RR","RR","Roraima","SA","BR","http://en.wikipedia.org/wiki/Roraima",
303221,"BR-RS","RS","Rio Grande do Sul","SA","BR","http://en.wikipedia.org/wiki/Rio_Grande_do_Sul",
303222,"BR-SC","SC","Santa Catarina","SA","BR","http://en.wikipedia.org/wiki/Santa_Catarina",
303223,"BR-SE","SE","Sergipe","SA","BR","http://en.wikipedia.org/wiki/Sergipe",
303224,"BR-SP","SP","SÃ£o Paulo","SA","BR","http://en.wikipedia.org/wiki/SÃ£o_Paulo",
303225,"BR-TO","TO","Tocatins","SA","BR","http://en.wikipedia.org/wiki/Tocatins",
303226,"BR-U-A","U-A","(unassigned)","SA","BR",,
303227,"BS-AC","AC","Acklins and Crooked Islands","NA","BS","http://en.wikipedia.org/wiki/Acklins_and_Crooked_Islands",
303228,"BS-BI","BI","Bimini","NA","BS","http://en.wikipedia.org/wiki/Bimini",
303229,"BS-CI","CI","Cat Island","NA","BS","http://en.wikipedia.org/wiki/Cat_Island",
303230,"BS-EX","EX","Exuma","NA","BS","http://en.wikipedia.org/wiki/Exuma",
303231,"BS-FC","FC","Fresh Creek","NA","BS","http://en.wikipedia.org/wiki/Fresh_Creek",
303232,"BS-FP","FP","Freeport","NA","BS","http://en.wikipedia.org/wiki/Freeport",
303233,"BS-GH","GH","Governor's Harbour","NA","BS","http://en.wikipedia.org/wiki/Governor's_Harbour",
303234,"BS-GT","GT","Green Turtle Cay","NA","BS","http://en.wikipedia.org/wiki/Green_Turtle_Cay",
303235,"BS-HI","HI","Harbour Island","NA","BS","http://en.wikipedia.org/wiki/Harbour_Island",
303236,"BS-HR","HR","High Rock","NA","BS","http://en.wikipedia.org/wiki/High_Rock",
303237,"BS-IN","IN","Inagua","NA","BS","http://en.wikipedia.org/wiki/Inagua",
303238,"BS-KB","KB","Kemps Bay","NA","BS","http://en.wikipedia.org/wiki/Kemps_Bay",
303239,"BS-LI","LI","Long Island","NA","BS","http://en.wikipedia.org/wiki/Long_Island",
303240,"BS-MG","MG","Mayaguana","NA","BS","http://en.wikipedia.org/wiki/Mayaguana",
303241,"BS-MH","MH","Marsh Harbour","NA","BS","http://en.wikipedia.org/wiki/Marsh_Harbour",
303242,"BS-NB","NB","Nicholls Town and Berry Islands","NA","BS","http://en.wikipedia.org/wiki/Nicholls_Town_and_Berry_Islands",
303243,"BS-NP","NP","New Providence","NA","BS","http://en.wikipedia.org/wiki/New_Providence",
303244,"BS-RI","RI","Ragged Island","NA","BS","http://en.wikipedia.org/wiki/Ragged_Island",
303245,"BS-RS","RS","Rock Sound","NA","BS","http://en.wikipedia.org/wiki/Rock_Sound",
303246,"BS-SP","SP","Sandy Point","NA","BS","http://en.wikipedia.org/wiki/Sandy_Point",
303247,"BS-SR","SR","San Salvador and Rum Cay","NA","BS","http://en.wikipedia.org/wiki/San_Salvador_and_Rum_Cay",
303248,"BS-U-A","U-A","(unassigned)","NA","BS",,
303249,"BT-11",11,"Paro","AS","BT","http://en.wikipedia.org/wiki/Paro",
303250,"BT-12",12,"Chhukha","AS","BT","http://en.wikipedia.org/wiki/Chhukha",
303251,"BT-13",13,"Ha","AS","BT","http://en.wikipedia.org/wiki/Ha",
303252,"BT-14",14,"Samtee","AS","BT","http://en.wikipedia.org/wiki/Samtee",
303253,"BT-15",15,"Thimphu","AS","BT","http://en.wikipedia.org/wiki/Thimphu",
303254,"BT-21",21,"Tsirang","AS","BT","http://en.wikipedia.org/wiki/Tsirang",
303255,"BT-22",22,"Dagana","AS","BT","http://en.wikipedia.org/wiki/Dagana",
303256,"BT-23",23,"Punakha","AS","BT","http://en.wikipedia.org/wiki/Punakha",
303257,"BT-24",24,"Wangdue Phodrang","AS","BT","http://en.wikipedia.org/wiki/Wangdue_Phodrang",
303258,"BT-31",31,"Sarpang","AS","BT","http://en.wikipedia.org/wiki/Sarpang",
303259,"BT-32",32,"Trongsa","AS","BT","http://en.wikipedia.org/wiki/Trongsa",
303260,"BT-33",33,"Bumthang","AS","BT","http://en.wikipedia.org/wiki/Bumthang",
303261,"BT-34",34,"Zhemgang","AS","BT","http://en.wikipedia.org/wiki/Zhemgang",
303262,"BT-41",41,"Trashigang","AS","BT","http://en.wikipedia.org/wiki/Trashigang",
303263,"BT-42",42,"Monggar","AS","BT","http://en.wikipedia.org/wiki/Monggar",
303264,"BT-43",43,"Pemagatshel","AS","BT","http://en.wikipedia.org/wiki/Pemagatshel",
303265,"BT-44",44,"Lhuentse","AS","BT","http://en.wikipedia.org/wiki/Lhuentse",
303266,"BT-45",45,"Samdrup Jongkha","AS","BT","http://en.wikipedia.org/wiki/Samdrup_Jongkha",
303267,"BT-GA","GA","Gasa","AS","BT","http://en.wikipedia.org/wiki/Gasa",
303268,"BT-TY","TY","Trashi Yangtse","AS","BT","http://en.wikipedia.org/wiki/Trashi_Yangtse",
